format,group,year,revenue
8 - Track,Tape,1973-01-01,2815.68
8 - Track,Tape,1974-01-01,2848.01
8 - Track,Tape,1975-01-01,2770.41
8 - Track,Tape,1976-01-01,3047.22
8 - Track,Tape,1977-01-01,3421.42
8 - Track,Tape,1978-01-01,3717.22
8 - Track,Tape,1979-01-01,2409.73
8 - Track,Tape,1980-01-01,1635.09
8 - Track,Tape,1981-01-01,880.315082508
8 - Track,Tape,1982-01-01,95.374632124
8 - Track,Tape,1983-01-01,0
8 - Track,Tape,1984-01-01,0
8 - Track,Tape,1985-01-01,0
8 - Track,Tape,1986-01-01,0
8 - Track,Tape,1987-01-01,0
8 - Track,Tape,1988-01-01,0
8 - Track,Tape,1989-01-01,0
8 - Track,Tape,1990-01-01,0
8 - Track,Tape,1991-01-01,0
8 - Track,Tape,1992-01-01,0
8 - Track,Tape,1993-01-01,0
8 - Track,Tape,1994-01-01,0
8 - Track,Tape,1995-01-01,0
8 - Track,Tape,1996-01-01,0
8 - Track,Tape,1997-01-01,0
8 - Track,Tape,1998-01-01,0
8 - Track,Tape,1999-01-01,0
8 - Track,Tape,2000-01-01,0
8 - Track,Tape,2001-01-01,0
8 - Track,Tape,2002-01-01,0
8 - Track,Tape,2003-01-01,0
8 - Track,Tape,2004-01-01,0
8 - Track,Tape,2005-01-01,0
8 - Track,Tape,2006-01-01,0
8 - Track,Tape,2007-01-01,0
8 - Track,Tape,2008-01-01,0
8 - Track,Tape,2009-01-01,0
8 - Track,Tape,2010-01-01,0
8 - Track,Tape,2011-01-01,0
8 - Track,Tape,2012-01-01,0
8 - Track,Tape,2013-01-01,0
8 - Track,Tape,2014-01-01,0
8 - Track,Tape,2015-01-01,0
8 - Track,Tape,2016-01-01,0
8 - Track,Tape,2017-01-01,0
8 - Track,Tape,2018-01-01,0
8 - Track,Tape,2019-01-01,0
CD,Disc,1973-01-01,0
CD,Disc,1974-01-01,0
CD,Disc,1975-01-01,0
CD,Disc,1976-01-01,0
CD,Disc,1977-01-01,0
CD,Disc,1978-01-01,0
CD,Disc,1979-01-01,0
CD,Disc,1980-01-01,0
CD,Disc,1981-01-01,0
CD,Disc,1982-01-01,0
CD,Disc,1983-01-01,44.14960241
CD,Disc,1984-01-01,254.180636189
CD,Disc,1985-01-01,925.449828067
CD,Disc,1986-01-01,2169.59
CD,Disc,1987-01-01,3586.4
CD,Disc,1988-01-01,4516.46
CD,Disc,1989-01-01,5335.19
CD,Disc,1990-01-01,6751.54
CD,Disc,1991-01-01,8142.17
CD,Disc,1992-01-01,9706.04
CD,Disc,1993-01-01,11520.31
CD,Disc,1994-01-01,14601.95
CD,Disc,1995-01-01,15730.96
CD,Disc,1996-01-01,16187.86
CD,Disc,1997-01-01,15793.55
CD,Disc,1998-01-01,17905.4
CD,Disc,1999-01-01,19667.33
CD,Disc,2000-01-01,19618.93
CD,Disc,2001-01-01,18635.68
CD,Disc,2002-01-01,17115.94
CD,Disc,2003-01-01,15607.44
CD,Disc,2004-01-01,15491.68
CD,Disc,2005-01-01,13771.44
CD,Disc,2006-01-01,11885.77
CD,Disc,2007-01-01,9190.7
CD,Disc,2008-01-01,6496.78
CD,Disc,2009-01-01,5146.58
CD,Disc,2010-01-01,3973.86
CD,Disc,2011-01-01,3524.14
CD,Disc,2012-01-01,2767.78
CD,Disc,2013-01-01,2349.53
CD,Disc,2014-01-01,1918.22
CD,Disc,2015-01-01,1558.63
CD,Disc,2016-01-01,1204.5
CD,Disc,2017-01-01,1102.77
CD,Disc,2018-01-01,711.041239463
CD,Disc,2019-01-01,614.509779894
CD Single,Disc,1973-01-01,0
CD Single,Disc,1974-01-01,0
CD Single,Disc,1975-01-01,0
CD Single,Disc,1976-01-01,0
CD Single,Disc,1977-01-01,0
CD Single,Disc,1978-01-01,0
CD Single,Disc,1979-01-01,0
CD Single,Disc,1980-01-01,0
CD Single,Disc,1981-01-01,0
CD Single,Disc,1982-01-01,0
CD Single,Disc,1983-01-01,0
CD Single,Disc,1984-01-01,0
CD Single,Disc,1985-01-01,0
CD Single,Disc,1986-01-01,0
CD Single,Disc,1987-01-01,0
CD Single,Disc,1988-01-01,21.178686391
CD Single,Disc,1989-01-01,1.443225
CD Single,Disc,1990-01-01,11.736358072
CD Single,Disc,1991-01-01,65.885174009
CD Single,Disc,1992-01-01,82.181972202
CD Single,Disc,1993-01-01,81.031768858
CD Single,Disc,1994-01-01,96.77704251
CD Single,Disc,1995-01-01,186.039116142
CD Single,Disc,1996-01-01,299.977397706
CD Single,Disc,1997-01-01,434.377968224
CD Single,Disc,1998-01-01,334.393082209
CD Single,Disc,1999-01-01,341.285214886
CD Single,Disc,2000-01-01,211.859778746
CD Single,Disc,2001-01-01,114.619795596
CD Single,Disc,2002-01-01,27.853680934
CD Single,Disc,2003-01-01,50.019847826
CD Single,Disc,2004-01-01,20.300979354
CD Single,Disc,2005-01-01,14.268619048
CD Single,Disc,2006-01-01,9.764677083
CD Single,Disc,2007-01-01,15.045901592
CD Single,Disc,2008-01-01,4.156001078
CD Single,Disc,2009-01-01,3.694172567
CD Single,Disc,2010-01-01,3.400068331
CD Single,Disc,2011-01-01,3.977965137
CD Single,Disc,2012-01-01,3.59119832
CD Single,Disc,2013-01-01,2.684056894
CD Single,Disc,2014-01-01,3.905023683
CD Single,Disc,2015-01-01,1.291079457
CD Single,Disc,2016-01-01,0.280361354
CD Single,Disc,2017-01-01,1.542258972
CD Single,Disc,2018-01-01,0.157981482
CD Single,Disc,2019-01-01,0.181678878
Cassette,Tape,1973-01-01,437.611081081
Cassette,Tape,1974-01-01,452.196559838
Cassette,Tape,1975-01-01,469.496498141
Cassette,Tape,1976-01-01,654.643671353
Cassette,Tape,1977-01-01,1053
Cassette,Tape,1978-01-01,1763.72
Cassette,Tape,1979-01-01,2044.55
Cassette,Tape,1980-01-01,2187.36
Cassette,Tape,1981-01-01,2989.13
Cassette,Tape,1982-01-01,3667.95
Cassette,Tape,1983-01-01,4648.29
Cassette,Tape,1984-01-01,5865.84
Cassette,Tape,1985-01-01,5729.71
Cassette,Tape,1986-01-01,5830.43
Cassette,Tape,1987-01-01,6660.81
Cassette,Tape,1988-01-01,7315.51
Cassette,Tape,1989-01-01,6898.2
Cassette,Tape,1990-01-01,6792.22
Cassette,Tape,1991-01-01,5668
Cassette,Tape,1992-01-01,5678.57
Cassette,Tape,1993-01-01,5158.79
Cassette,Tape,1994-01-01,5134.53
Cassette,Tape,1995-01-01,3864.38
Cassette,Tape,1996-01-01,3104.55
Cassette,Tape,1997-01-01,2425.48
Cassette,Tape,1998-01-01,2227.04
Cassette,Tape,1999-01-01,1629.08
Cassette,Tape,2000-01-01,929.391881533
Cassette,Tape,2001-01-01,524.594883117
Cassette,Tape,2002-01-01,298.148074486
Cassette,Tape,2003-01-01,150.1984875
Cassette,Tape,2004-01-01,32.07554738
Cassette,Tape,2005-01-01,17.14852381
Cassette,Tape,2006-01-01,4.69211756
Cassette,Tape,2007-01-01,3.699811867
Cassette,Tape,2008-01-01,1.068685991
Cassette,Tape,2009-01-01,0
Cassette,Tape,2010-01-01,0
Cassette,Tape,2011-01-01,0
Cassette,Tape,2012-01-01,0
Cassette,Tape,2013-01-01,0
Cassette,Tape,2014-01-01,0
Cassette,Tape,2015-01-01,0
Cassette,Tape,2016-01-01,0
Cassette,Tape,2017-01-01,0
Cassette,Tape,2018-01-01,0
Cassette,Tape,2019-01-01,0
Cassette Single,Tape,1973-01-01,0
Cassette Single,Tape,1974-01-01,0
Cassette Single,Tape,1975-01-01,0
Cassette Single,Tape,1976-01-01,0
Cassette Single,Tape,1977-01-01,0
Cassette Single,Tape,1978-01-01,0
Cassette Single,Tape,1979-01-01,0
Cassette Single,Tape,1980-01-01,0
Cassette Single,Tape,1981-01-01,0
Cassette Single,Tape,1982-01-01,0
Cassette Single,Tape,1983-01-01,0
Cassette Single,Tape,1984-01-01,0
Cassette Single,Tape,1985-01-01,0
Cassette Single,Tape,1986-01-01,0
Cassette Single,Tape,1987-01-01,32.182175176
Cassette Single,Tape,1988-01-01,123.830482671
Cassette Single,Tape,1989-01-01,401.21655
Cassette Single,Tape,1990-01-01,504.467791125
Cassette Single,Tape,1991-01-01,432.477039648
Cassette Single,Tape,1992-01-01,544.47834355
Cassette Single,Tape,1993-01-01,528.121899654
Cassette Single,Tape,1994-01-01,474.224759109
Cassette Single,Tape,1995-01-01,396.40255315
Cassette Single,Tape,1996-01-01,308.450414914
Cassette Single,Tape,1997-01-01,212.649280374
Cassette Single,Tape,1998-01-01,148.061477301
Cassette Single,Tape,1999-01-01,73.658679472
Cassette Single,Tape,2000-01-01,6.829397213
Cassette Single,Tape,2001-01-01,7.650943535
Cassette Single,Tape,2002-01-01,2.273769872
Cassette Single,Tape,2003-01-01,0
Cassette Single,Tape,2004-01-01,0
Cassette Single,Tape,2005-01-01,0
Cassette Single,Tape,2006-01-01,0
Cassette Single,Tape,2007-01-01,0
Cassette Single,Tape,2008-01-01,0
Cassette Single,Tape,2009-01-01,0
Cassette Single,Tape,2010-01-01,0
Cassette Single,Tape,2011-01-01,0
Cassette Single,Tape,2012-01-01,0
Cassette Single,Tape,2013-01-01,0
Cassette Single,Tape,2014-01-01,0
Cassette Single,Tape,2015-01-01,0
Cassette Single,Tape,2016-01-01,0
Cassette Single,Tape,2017-01-01,0
Cassette Single,Tape,2018-01-01,0
Cassette Single,Tape,2019-01-01,0
DVD Audio,Other,1973-01-01,0
DVD Audio,Other,1974-01-01,0
DVD Audio,Other,1975-01-01,0
DVD Audio,Other,1976-01-01,0
DVD Audio,Other,1977-01-01,0
DVD Audio,Other,1978-01-01,0
DVD Audio,Other,1979-01-01,0
DVD Audio,Other,1980-01-01,0
DVD Audio,Other,1981-01-01,0
DVD Audio,Other,1982-01-01,0
DVD Audio,Other,1983-01-01,0
DVD Audio,Other,1984-01-01,0
DVD Audio,Other,1985-01-01,0
DVD Audio,Other,1986-01-01,0
DVD Audio,Other,1987-01-01,0
DVD Audio,Other,1988-01-01,0
DVD Audio,Other,1989-01-01,0
DVD Audio,Other,1990-01-01,0
DVD Audio,Other,1991-01-01,0
DVD Audio,Other,1992-01-01,0
DVD Audio,Other,1993-01-01,0
DVD Audio,Other,1994-01-01,0
DVD Audio,Other,1995-01-01,0
DVD Audio,Other,1996-01-01,0
DVD Audio,Other,1997-01-01,0
DVD Audio,Other,1998-01-01,0
DVD Audio,Other,1999-01-01,0
DVD Audio,Other,2000-01-01,0
DVD Audio,Other,2001-01-01,8.661445511
DVD Audio,Other,2002-01-01,12.079402446
DVD Audio,Other,2003-01-01,11.115521739
DVD Audio,Other,2004-01-01,8.797091053
DVD Audio,Other,2005-01-01,14.661333333
DVD Audio,Other,2006-01-01,3.043535714
DVD Audio,Other,2007-01-01,3.453157742
DVD Audio,Other,2008-01-01,1.424914655
DVD Audio,Other,2009-01-01,1.906669712
DVD Audio,Other,2010-01-01,1.05519362
DVD Audio,Other,2011-01-01,0.34096844
DVD Audio,Other,2012-01-01,0.20389289
DVD Audio,Other,2013-01-01,0.544116778
DVD Audio,Other,2014-01-01,2.310456232
DVD Audio,Other,2015-01-01,5.842187676
DVD Audio,Other,2016-01-01,3.020431045
DVD Audio,Other,2017-01-01,2.718901189
DVD Audio,Other,2018-01-01,3.377493968
DVD Audio,Other,2019-01-01,1.067303184
Download Album,Download,1973-01-01,0
Download Album,Download,1974-01-01,0
Download Album,Download,1975-01-01,0
Download Album,Download,1976-01-01,0
Download Album,Download,1977-01-01,0
Download Album,Download,1978-01-01,0
Download Album,Download,1979-01-01,0
Download Album,Download,1980-01-01,0
Download Album,Download,1981-01-01,0
Download Album,Download,1982-01-01,0
Download Album,Download,1983-01-01,0
Download Album,Download,1984-01-01,0
Download Album,Download,1985-01-01,0
Download Album,Download,1986-01-01,0
Download Album,Download,1987-01-01,0
Download Album,Download,1988-01-01,0
Download Album,Download,1989-01-01,0
Download Album,Download,1990-01-01,0
Download Album,Download,1991-01-01,0
Download Album,Download,1992-01-01,0
Download Album,Download,1993-01-01,0
Download Album,Download,1994-01-01,0
Download Album,Download,1995-01-01,0
Download Album,Download,1996-01-01,0
Download Album,Download,1997-01-01,0
Download Album,Download,1998-01-01,0
Download Album,Download,1999-01-01,0
Download Album,Download,2000-01-01,0
Download Album,Download,2001-01-01,0
Download Album,Download,2002-01-01,0
Download Album,Download,2003-01-01,0
Download Album,Download,2004-01-01,61.579637374
Download Album,Download,2005-01-01,177.637761905
Download Album,Download,2006-01-01,349.879793155
Download Album,Download,2007-01-01,613.428807525
Download Album,Download,2008-01-01,754.37356702
Download Album,Download,2009-01-01,886.958916644
Download Album,Download,2010-01-01,1022.83
Download Album,Download,2011-01-01,1217.03
Download Album,Download,2012-01-01,1341.59
Download Album,Download,2013-01-01,1352.2
Download Album,Download,2014-01-01,1207.25
Download Album,Download,2015-01-01,1148.15
Download Album,Download,2016-01-01,925.232200992
Download Album,Download,2017-01-01,697.237618181
Download Album,Download,2018-01-01,508.704388424
Download Album,Download,2019-01-01,394.533006158
Download Music Video,Download,1973-01-01,0
Download Music Video,Download,1974-01-01,0
Download Music Video,Download,1975-01-01,0
Download Music Video,Download,1976-01-01,0
Download Music Video,Download,1977-01-01,0
Download Music Video,Download,1978-01-01,0
Download Music Video,Download,1979-01-01,0
Download Music Video,Download,1980-01-01,0
Download Music Video,Download,1981-01-01,0
Download Music Video,Download,1982-01-01,0
Download Music Video,Download,1983-01-01,0
Download Music Video,Download,1984-01-01,0
Download Music Video,Download,1985-01-01,0
Download Music Video,Download,1986-01-01,0
Download Music Video,Download,1987-01-01,0
Download Music Video,Download,1988-01-01,0
Download Music Video,Download,1989-01-01,0
Download Music Video,Download,1990-01-01,0
Download Music Video,Download,1991-01-01,0
Download Music Video,Download,1992-01-01,0
Download Music Video,Download,1993-01-01,0
Download Music Video,Download,1994-01-01,0
Download Music Video,Download,1995-01-01,0
Download Music Video,Download,1996-01-01,0
Download Music Video,Download,1997-01-01,0
Download Music Video,Download,1998-01-01,0
Download Music Video,Download,1999-01-01,0
Download Music Video,Download,2000-01-01,0
Download Music Video,Download,2001-01-01,0
Download Music Video,Download,2002-01-01,0
Download Music Video,Download,2003-01-01,0
Download Music Video,Download,2004-01-01,0
Download Music Video,Download,2005-01-01,4.84347619
Download Music Video,Download,2006-01-01,24.982355655
Download Music Video,Download,2007-01-01,34.778231548
Download Music Video,Download,2008-01-01,49.040812715
Download Music Video,Download,2009-01-01,48.739244513
Download Music Video,Download,2010-01-01,42.911207213
Download Music Video,Download,2011-01-01,36.824591556
Download Music Video,Download,2012-01-01,23.208206935
Download Music Video,Download,2013-01-01,18.372074986
Download Music Video,Download,2014-01-01,14.662197203
Download Music Video,Download,2015-01-01,6.918875516
Download Music Video,Download,2016-01-01,4.547792467
Download Music Video,Download,2017-01-01,2.905533136
Download Music Video,Download,2018-01-01,2.261051168
Download Music Video,Download,2019-01-01,1.858910402
Download Single,Download,1973-01-01,0
Download Single,Download,1974-01-01,0
Download Single,Download,1975-01-01,0
Download Single,Download,1976-01-01,0
Download Single,Download,1977-01-01,0
Download Single,Download,1978-01-01,0
Download Single,Download,1979-01-01,0
Download Single,Download,1980-01-01,0
Download Single,Download,1981-01-01,0
Download Single,Download,1982-01-01,0
Download Single,Download,1983-01-01,0
Download Single,Download,1984-01-01,0
Download Single,Download,1985-01-01,0
Download Single,Download,1986-01-01,0
Download Single,Download,1987-01-01,0
Download Single,Download,1988-01-01,0
Download Single,Download,1989-01-01,0
Download Single,Download,1990-01-01,0
Download Single,Download,1991-01-01,0
Download Single,Download,1992-01-01,0
Download Single,Download,1993-01-01,0
Download Single,Download,1994-01-01,0
Download Single,Download,1995-01-01,0
Download Single,Download,1996-01-01,0
Download Single,Download,1997-01-01,0
Download Single,Download,1998-01-01,0
Download Single,Download,1999-01-01,0
Download Single,Download,2000-01-01,0
Download Single,Download,2001-01-01,0
Download Single,Download,2002-01-01,0
Download Single,Download,2003-01-01,0
Download Single,Download,2004-01-01,186.769010058
Download Single,Download,2005-01-01,475.577
Download Single,Download,2006-01-01,736.282014881
Download Single,Download,2007-01-01,1000.18
Download Single,Download,2008-01-01,1225.66
Download Single,Download,2009-01-01,1396.64
Download Single,Download,2010-01-01,1566.85
Download Single,Download,2011-01-01,1730.3
Download Single,Download,2012-01-01,1831.26
Download Single,Download,2013-01-01,1726.74
Download Single,Download,2014-01-01,1463.66
Download Single,Download,2015-01-01,1278.45
Download Single,Download,2016-01-01,958.87910313
Download Single,Download,2017-01-01,707.692711218
Download Single,Download,2018-01-01,499.316974193
Download Single,Download,2019-01-01,414.804250982
Kiosk,Other,1973-01-01,0
Kiosk,Other,1974-01-01,0
Kiosk,Other,1975-01-01,0
Kiosk,Other,1976-01-01,0
Kiosk,Other,1977-01-01,0
Kiosk,Other,1978-01-01,0
Kiosk,Other,1979-01-01,0
Kiosk,Other,1980-01-01,0
Kiosk,Other,1981-01-01,0
Kiosk,Other,1982-01-01,0
Kiosk,Other,1983-01-01,0
Kiosk,Other,1984-01-01,0
Kiosk,Other,1985-01-01,0
Kiosk,Other,1986-01-01,0
Kiosk,Other,1987-01-01,0
Kiosk,Other,1988-01-01,0
Kiosk,Other,1989-01-01,0
Kiosk,Other,1990-01-01,0
Kiosk,Other,1991-01-01,0
Kiosk,Other,1992-01-01,0
Kiosk,Other,1993-01-01,0
Kiosk,Other,1994-01-01,0
Kiosk,Other,1995-01-01,0
Kiosk,Other,1996-01-01,0
Kiosk,Other,1997-01-01,0
Kiosk,Other,1998-01-01,0
Kiosk,Other,1999-01-01,0
Kiosk,Other,2000-01-01,0
Kiosk,Other,2001-01-01,0
Kiosk,Other,2002-01-01,0
Kiosk,Other,2003-01-01,0
Kiosk,Other,2004-01-01,0
Kiosk,Other,2005-01-01,1.309047619
Kiosk,Other,2006-01-01,2.409465774
Kiosk,Other,2007-01-01,3.206503618
Kiosk,Other,2008-01-01,3.087315086
Kiosk,Other,2009-01-01,7.507511991
Kiosk,Other,2010-01-01,7.503599075
Kiosk,Other,2011-01-01,3.068715963
Kiosk,Other,2012-01-01,4.068866328
Kiosk,Other,2013-01-01,6.786152156
Kiosk,Other,2014-01-01,2.789051821
Kiosk,Other,2015-01-01,3.99147413
Kiosk,Other,2016-01-01,3.13587911
Kiosk,Other,2017-01-01,2.351668038
Kiosk,Other,2018-01-01,2.000651969
Kiosk,Other,2019-01-01,1.586470587
LP/EP,Vinyl,1973-01-01,7174.52
LP/EP,Vinyl,1974-01-01,7031.86
LP/EP,Vinyl,1975-01-01,7056.7
LP/EP,Vinyl,1976-01-01,7472.01
LP/EP,Vinyl,1977-01-01,9260.61
LP/EP,Vinyl,1978-01-01,9698.11
LP/EP,Vinyl,1979-01-01,7243.62
LP/EP,Vinyl,1980-01-01,6825.79
LP/EP,Vinyl,1981-01-01,6586.05
LP/EP,Vinyl,1982-01-01,5100.16
LP/EP,Vinyl,1983-01-01,4335.39
LP/EP,Vinyl,1984-01-01,3810.99
LP/EP,Vinyl,1985-01-01,3042.46
LP/EP,Vinyl,1986-01-01,2292.98
LP/EP,Vinyl,1987-01-01,1784.87
LP/EP,Vinyl,1988-01-01,1150.13
LP/EP,Vinyl,1989-01-01,454.203525
LP/EP,Vinyl,1990-01-01,169.199162204
LP/EP,Vinyl,1991-01-01,55.185872247
LP/EP,Vinyl,1992-01-01,24.59992516
LP/EP,Vinyl,1993-01-01,18.754077509
LP/EP,Vinyl,1994-01-01,30.706441296
LP/EP,Vinyl,1995-01-01,42.106238189
LP/EP,Vinyl,1996-01-01,59.962891013
LP/EP,Vinyl,1997-01-01,53.042854206
LP/EP,Vinyl,1998-01-01,53.327226994
LP/EP,Vinyl,1999-01-01,48.79887515
LP/EP,Vinyl,2000-01-01,41.124848432
LP/EP,Vinyl,2001-01-01,39.5539345
LP/EP,Vinyl,2002-01-01,29.132676487
LP/EP,Vinyl,2003-01-01,30.150852717
LP/EP,Vinyl,2004-01-01,26.120593436
LP/EP,Vinyl,2005-01-01,18.58847619
LP/EP,Vinyl,2006-01-01,19.909796131
LP/EP,Vinyl,2007-01-01,28.24189725
LP/EP,Vinyl,2008-01-01,67.327217456
LP/EP,Vinyl,2009-01-01,76.028454765
LP/EP,Vinyl,2010-01-01,104.229680908
LP/EP,Vinyl,2011-01-01,135.705439252
LP/EP,Vinyl,2012-01-01,178.967982236
LP/EP,Vinyl,2013-01-01,231.274070194
LP/EP,Vinyl,2014-01-01,263.336179145
LP/EP,Vinyl,2015-01-01,359.598162864
LP/EP,Vinyl,2016-01-01,378.607270991
LP/EP,Vinyl,2017-01-01,405.212077272
LP/EP,Vinyl,2018-01-01,426.820186646
LP/EP,Vinyl,2019-01-01,497.588920842
Limited Tier Paid Subscription,Streaming,1973-01-01,0
Limited Tier Paid Subscription,Streaming,1974-01-01,0
Limited Tier Paid Subscription,Streaming,1975-01-01,0
Limited Tier Paid Subscription,Streaming,1976-01-01,0
Limited Tier Paid Subscription,Streaming,1977-01-01,0
Limited Tier Paid Subscription,Streaming,1978-01-01,0
Limited Tier Paid Subscription,Streaming,1979-01-01,0
Limited Tier Paid Subscription,Streaming,1980-01-01,0
Limited Tier Paid Subscription,Streaming,1981-01-01,0
Limited Tier Paid Subscription,Streaming,1982-01-01,0
Limited Tier Paid Subscription,Streaming,1983-01-01,0
Limited Tier Paid Subscription,Streaming,1984-01-01,0
Limited Tier Paid Subscription,Streaming,1985-01-01,0
Limited Tier Paid Subscription,Streaming,1986-01-01,0
Limited Tier Paid Subscription,Streaming,1987-01-01,0
Limited Tier Paid Subscription,Streaming,1988-01-01,0
Limited Tier Paid Subscription,Streaming,1989-01-01,0
Limited Tier Paid Subscription,Streaming,1990-01-01,0
Limited Tier Paid Subscription,Streaming,1991-01-01,0
Limited Tier Paid Subscription,Streaming,1992-01-01,0
Limited Tier Paid Subscription,Streaming,1993-01-01,0
Limited Tier Paid Subscription,Streaming,1994-01-01,0
Limited Tier Paid Subscription,Streaming,1995-01-01,0
Limited Tier Paid Subscription,Streaming,1996-01-01,0
Limited Tier Paid Subscription,Streaming,1997-01-01,0
Limited Tier Paid Subscription,Streaming,1998-01-01,0
Limited Tier Paid Subscription,Streaming,1999-01-01,0
Limited Tier Paid Subscription,Streaming,2000-01-01,0
Limited Tier Paid Subscription,Streaming,2001-01-01,0
Limited Tier Paid Subscription,Streaming,2002-01-01,0
Limited Tier Paid Subscription,Streaming,2003-01-01,0
Limited Tier Paid Subscription,Streaming,2004-01-01,0
Limited Tier Paid Subscription,Streaming,2005-01-01,0
Limited Tier Paid Subscription,Streaming,2006-01-01,0
Limited Tier Paid Subscription,Streaming,2007-01-01,0
Limited Tier Paid Subscription,Streaming,2008-01-01,0
Limited Tier Paid Subscription,Streaming,2009-01-01,0
Limited Tier Paid Subscription,Streaming,2010-01-01,0
Limited Tier Paid Subscription,Streaming,2011-01-01,0
Limited Tier Paid Subscription,Streaming,2012-01-01,0
Limited Tier Paid Subscription,Streaming,2013-01-01,0
Limited Tier Paid Subscription,Streaming,2014-01-01,0
Limited Tier Paid Subscription,Streaming,2015-01-01,0
Limited Tier Paid Subscription,Streaming,2016-01-01,280.536691286
Limited Tier Paid Subscription,Streaming,2017-01-01,617.032317981
Limited Tier Paid Subscription,Streaming,2018-01-01,760.591366006
Limited Tier Paid Subscription,Streaming,2019-01-01,829.498739675
Music Video (Physical),Other,1973-01-01,0
Music Video (Physical),Other,1974-01-01,0
Music Video (Physical),Other,1975-01-01,0
Music Video (Physical),Other,1976-01-01,0
Music Video (Physical),Other,1977-01-01,0
Music Video (Physical),Other,1978-01-01,0
Music Video (Physical),Other,1979-01-01,0
Music Video (Physical),Other,1980-01-01,0
Music Video (Physical),Other,1981-01-01,0
Music Video (Physical),Other,1982-01-01,0
Music Video (Physical),Other,1983-01-01,0
Music Video (Physical),Other,1984-01-01,0
Music Video (Physical),Other,1985-01-01,0
Music Video (Physical),Other,1986-01-01,0
Music Video (Physical),Other,1987-01-01,0
Music Video (Physical),Other,1988-01-01,0
Music Video (Physical),Other,1989-01-01,237.92595
Music Video (Physical),Other,1990-01-01,337.029082632
Music Video (Physical),Other,1991-01-01,221.682024229
Music Video (Physical),Other,1992-01-01,286.816905203
Music Video (Physical),Other,1993-01-01,377.381578547
Music Video (Physical),Other,1994-01-01,398.666212551
